PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40755508,Immune Checkpoint Inhibitors in Kidney Transplant Recipients: A French Multicenter Retrospective Cohort Study.,2025,,,N/A
40755506,Rivaroxaban Ameliorates Sunitinib-Induced Injury of Cardiomyocytes via Repressing MAPK Signaling Pathway.,2025,,,N/A
40755493,Potential Active Compounds of ,2025,,,N/A
40755465,Implication of Bimodal Magnetic Resonance and Fluorescence Imaging Probes in Advanced Healthcare: Enhancing Disease Diagnosis and Targeted Therapy.,2025,,,N/A
40755438,Nanoshield-Assisted Viral Gene Therapy with Induction of Non-Apoptotic Cell Death and Durable Antitumor Immunity.,2025,,,N/A
40755432,Structural Damages of the Dodecamer B-DNA Induced by N3 Protonation of Cytosine and Oxidation/Nitration of Guanine: A ReaxFF Reactive Molecular Dynamics Simulation.,2025,,,N/A
40755423,Emerging mechanisms of therapy resistance in metastatic ER+ breast cancer.,2025,,,N/A
40755405,Combination of resveratrol and epirubicin to overcome chemoresistance in lung adenocarcinoma organoids: synergistic effects and translational implications.,2025,"Li, Li","Biomedical Laboratory, Guangzhou Jingke BioTech Group, Guangzhou 510005, China.",N/A
40755376,"Real-World Data From a Molecular Tumor Board-Assisted Cancer Care From a Single Center in The Czech Republic: Is Precision Oncology an Accessible Option, or a Privilege for a Minority of Patients?",2025,,,N/A
40755353,Consolidative thoracic radiotherapy improves the prognosis of extensive stage small-cell lung cancer patients in the chemoimmunotherapy era: a multicenter retrospective analysis.,2025,,,N/A
40755340,Clinicopathological and neuroradiological presentation in an immuno-deficiency patient with central nervous system recurrence of Burkitt lymphoma: an extremely rare case with complete remission achieved twice after GMALL-B-ALL/NHL2002 and R-MIV protocols.,2025,,,N/A
40755329,Investigation of clinicopathological and prognostic association of TERT promoter mutation in non-small cell lung cancer in a Turkish population.,2025,,,N/A
40755328,Crosstalk between OPG/RANKL/RANK in bone marrow mesenchymal stem cells and Wnt/b-catenin pathway in prostate cancer cells regulates bone metastasis of prostate cancer.,2025,,,N/A
40755306,Survival and pathological response in pancreatic ductal adenocarcinoma after preoperative therapy with PD-1 blockade plus chemoradiotherapy followed by surgical resection.,2025,,,N/A
40755265,Real-World Data of Comprehensive Cancer Genomic Profiling Tests Performed in the Routine Clinical Setting in Sarcoma.,2025,,,N/A
40755255,Pretreatment CT Texture Analysis for Predicting Survival Outcomes in Advanced Nonsmall Cell Lung Cancer Patients Receiving Immunotherapy: A Systematic Review and Meta-Analysis.,2025,,,N/A
40755231,Co-Targeting KRASG12D and the HER family is efficacious in colorectal cancer.,2025,,,N/A
40755226,Methylphenidate versus placebo for fatigue in patients with advanced cancer: the MePFAC randomised controlled trial.,2025,,,N/A
40755165,Prediction of Speech Impairment in Patients Treated for Oral or Oropharyngeal Cancer Using Automatic Speech Analysis.,2025,"Balaguer, Pinquier, Farinas, Woisard","IRIT, Université de Toulouse, CNRS, Toulouse INP, UT3, Toulouse, France., Hôpital Larrey, Hôpital de Toulouse, Toulouse, France.",N/A
40755155,Halloysite nanotubes as a vector for hydrophobic perfluorinated porphyrin-based photosensitizers for singlet oxygen generation.,2025,"Hamza, Schifano, Ortenzi, Ferretti, Di Carlo, Dozzi, Tessore, Maggioni","Istituto di Scienze e Tecnologie Chimiche ""Giulio Natta"", CNR, G. Fantoli 16/15, 20138 Milano, Italy., Dipartimento di Chimica, Università degli Studi di Milano, Via Golgi 19, 20123 Milano, Italy. daniela.maggioni@unimi.it.",N/A
40755153,Evaluating the Combined Effect of a Choline Kinase Inhibitor and Temozolomide Therapy in a Mouse Model of Glioblastoma Using ,2025,,,N/A
40755136,Phage-augmented casein nanocarriers for targeted bioimaging and enhanced combinatorial therapy of triple-negative breast cancer.,2025,,,N/A
40755125,Impact of Pre-Treatment Serum Ferritin on Response and Survival in Myelodysplastic Syndromes Treated With Azacytidine: A Multivariate Analysis.,2025,"Flores, Gomariz, Escamilla-Sánchez","BE21-Hematología e Inmunoterapia, Instituto de Investigación Biomédica de Málaga y Plataforma en Nanomedicina (IBIMA Plataforma BIONAND), Málaga, Spain.",N/A
40755097,Severe Hypercalcemia Following Pembrolizumab Therapy: A Case Report and A Literature Review.,2025,,,N/A
40755092,"Correction to ""Matrix Metalloproteinase-9-Responsive Surface Charge-Reversible Nanocarrier to Enhance Endocytosis as Efficient Targeted Delivery System for Cancer Diagnosis and Therapy"".",2025,,,N/A
40755028,Two Shots on Goal: Combination of RAS Inhibition and Immunotherapy Drives Long-term Remission in Pancreatic Cancer.,2025,,,N/A
40755026,Toward Response-Adaptive Therapy in Locally Advanced NSCLC: Integrating ctDNA and Radiomics for Risk Stratification.,2025,,,N/A
40755008,Taiwan Liver Cancer Association Management Consensus Guidelines for Intermediate Stage Hepatocellular Carcinoma.,2025,,,N/A
40754967,Pre- and post-treatment care for actinic keratoses: An Australian and New Zealand perspective.,2025,"Green, Seine, De Cruz, Reiche, Tong, Siderov","AM, BPharm, MClinPharm, BCOP, AdvPracPharm, FSHP FANZCAP (OncHaem), Cancer Pharmacist, Pharmacy Department, Austin Health, Melbourne, Vic., MBBS, PhD (Med), FACD, Dermatologist, DermScreen, Sydney, NSW., BSc, MBChB, FRACP, FNZDSI, Dermatologist, Skin Centre, Tauranga, New Zealand., MBChB, FRACP, MB, Dermatologist, NZ Dermatology Research Trust, c/- Kauri HealthCare, Palmerston North, New Zealand., BMedSci, FACD, MBBS (Hons), Dermatologist, Southern Dermatology, Melbourne, Vic., BMed (Dist), FRACGP, FSCCA, General Practitioner, The Melanoma Centre, Brisbane, Qld.",N/A
40754963,Palliative management of type 2 diabetes mellitus in patients with advanced cancer.,2025,,,N/A
40754962,Pharmaceutical pitfalls in treating patients with advanced cancer.,2025,,,N/A
40754961,Management of constipation in people receiving palliative care.,2025,,,N/A
40754960,Palliative management of breathlessness.,2025,,,N/A
40754959,Palliative management of depression in advanced cancer.,2025,,,N/A
40754951,Machine learning and SHAP value interpretation for predicting the response to neoadjuvant chemotherapy and long-term clinical outcomes in Chinese female breast cancer.,2025,,,N/A
40754922,[Robot-assisted laparoscopic inferior vena cava segmental resection for renal tumor with tumor thrombus invading the vascular wall].,2025,,,N/A
40754906,[Risk assessment of perioperative adverse events and management of antiplatelet therapy in patients with bladder cancer and coronary atherosclerotic heart disease undergoing transurethral resection of bladder cancer].,2025,,,N/A
40754887,Route and efficiency analysis of cancer health care (REACH): Investigating sociodemographic and rurality of metastatic breast cancer patients at an NCI-designated facility.,2025,,,N/A
40754874,Kinase Inhibitors for Targeted Cancer Therapy.,2025,Mazumdar,"Department of Scientific and Industrial Research, Technology Bhawan, New Mehrauli Road, New Delhi, Delhi 110016, India.",N/A
40754873,INHBA: A Protein-coding Gene Closely Related to Tumour Diseases.,2025,,,N/A
40754759,Tumor Microenvironment-Responsive Nanocluster for Time-Resolved Hyperthermic Intraperitoneal Chemo/Thermal-Therapy against Colorectal Peritoneal Metastasis.,2025,,,N/A
40754707,"Correction to ""Dual-Responsive Core-Shell Tecto Dendrimers Enable Efficient Gene Editing of Cancer Cells to Boost Immune Checkpoint Blockade Therapy"".",2025,,,N/A
40754672,SCENE: Signature Collection for Endometrial Cancer Prognosis.,2025,,,N/A
40754671,Advancements in exosome-based cancer diagnosis: from chipsets to nano vaccine.,2025,,,N/A
40754657,Targeting the mTOR Signaling Pathway Through miR-100 and miR-101 in De Novo Acute Myeloid Leukemia: Implications for Therapeutic Intervention.,2025,,,N/A
40754632,Comparative study of the efficacy of tamoxifen and aromatase inhibitors among breast cancer patients at Kenyatta National Hospital.,2025,,,N/A
40754617,Immune characteristics and SALL1 methylation as prognostic biomarkers in primary and metastasis colorectal cancer.,2025,,,N/A
40754577,A CD24,2025,Rizvi,"Department of Cellular Pathology, Barts Health NHS Trust, London, UK.",N/A
40754571,"Examining the Interrelationships of Lymphedema with Pain, Physical Function, and Demographic and Medical Variables in Women with Breast Cancer and Pain.",2025,,,N/A
