PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40758128,Enhancing chemo-immunotherapy in triple-negative breast cancer: Co-delivery of doxorubicin and berberine using nanoparticles to downregulate PD-L1 and eliminate cancer stem cells.,2025,,,N/A
40757969,Myeloid-Derived Suppressor Cells: Orchestrators of Tumor Immune Evasion and Therapeutic Vulnerabilities.,2025,,,N/A
40756958,Precision therapy in metastatic breast cancer: the current landscape of molecular alteration-based therapies.,2025,Zeidalkilani,"MercyOne Siouxland Medical Center, Sioux City, IA, USA.",N/A
40756955,Escalation and optimisation of primary breast cancer treatment with antibody-drug conjugates.,2025,,,N/A
40756953,Precise targeting cytotoxicity of antibody-drug conjugate combined with immunotherapy as first-line regimen for metastatic triple-negative breast cancer in ASCENT-04.,2025,,,N/A
40756608,SMAC mimetics induce human macrophages to phagocytose live cancer cells.,2025,,,N/A
40756430,Properties of CD8 T-cell-recognized neoantigens in different tumor types.,2025,,,N/A
40756372,Secreted Clever-1 modulates T cell responses and impacts cancer immunotherapy efficacy.,2025,,,N/A
40755363,Decoy Extracellular Vesicles Overcome Triple-Negative Breast Cancer Heterogeneity via Membrane-Cytoplasm-Mitochondria Cascade Targeting.,2025,,,N/A
40754873,INHBA: A Protein-coding Gene Closely Related to Tumour Diseases.,2025,,,N/A
40754202,Preoperative Radiotherapy-Induced Molecular and Immune Modulation in Early-Stage Breast Cancer: Results from the YOUNGSTER Trial.,2025,,,N/A
40753075,Chimeric exosomes-derived immunomodulator restoring lymph nodes microenvironment for sensitizing TNBC immunotherapy.,2025,"He, Sun","Joint International Research, Laboratory of Intelligent Drug Delivery Systems, Ministry of Education, Beijing, China., Joint International Research, Laboratory of Intelligent Drug Delivery Systems, Ministry of Education, Beijing, China. sunjin@syphu.edu.cn.",N/A
40750675,Synergistic H&E and IHC image analysis by AI predicts cancer biomarkers and survival outcomes in colorectal and breast cancer.,2025,"Cheng, Lama, Chen, Amidi, Ramzanpour, Rahman, Xiu, Helmstetter, Dickman, Ribeiro, Ghani, Oberley, Spetzler, Sledge","Caris Life Sciences, Phoenix, AZ, USA. mchen@carisls.com., Caris Life Sciences, Phoenix, AZ, USA., Caris Life Sciences, Phoenix, AZ, USA. gsledge@carisls.com.",N/A
40750605,Radiation therapy as a biological modifier of the breast cancer immune microenvironment.,2025,"Galluzzi, Bolini, Shulman","Cancer Signaling and Microenvironment Program, Fox Chase Cancer Center, Philadelphia, PA, USA. deadoc80@gmail.com., Cancer Signaling and Microenvironment Program, Fox Chase Cancer Center, Philadelphia, PA, USA., Department of Radiation Oncology, Fox Chase Cancer Center, Philadelphia, PA, USA. rebecca.shulman@fccc.edu.",N/A
40750105,Lipid nanoparticle-delivered IFNα2 activates Cxcl9 to increase T cell tumor recruitment to suppress lung metastasis.,2025,,,N/A
40749953,Copper ionophore enhanced cisplatin efficiency through DLAT-cuprotosis.,2025,,,N/A
40749665,Mutations in MLL3 promote breast cancer progression via HIF1α-dependent intratumoral recruitment and differentiation of regulatory T cells.,2025,"Sparano, Lu, Fineberg","Department of Pathology, Montefiore Medical Center, New York, NY, USA., Department of Oncology, Montefiore Medical Center, New York, NY, USA.",N/A
40748773,"Immunogenic mutanome of breast cancer: Advances, challenges and future directions in neoantigen-based immunotherapy.",2025,,,N/A
40747820,Carrier-Free Nanoadjuvant-Loaded Bilayer Microneedles for Programmed and Individualized Cancer Chemo-Immunotherapy.,2025,,,N/A
40746212,Novel Carrier-Free Nanomedicine for Regulating Macrophage Phenotype to Amplify Anti-Tumor Photoimmunotherapy.,2025,"Lan, Liu, Hong, Liang, Zheng, Mo","Department of Anesthesiology, Maternity and Child Health Care of Guangxi Zhuang Autonomous Region, Nanning, 537500, China., Department of Breast Surgery, Maternity and Child Health Care of Guangxi Zhuang Autonomous Region, Nanning, 530002, China.",N/A
40745160,Mogat1 drives metabolic adaptations to evade immune surveillance.,2025,,,N/A
40744813,"Proteomic Analysis Identifies Association of Periostin, a Matricellular Protein, with High Tumor Stroma and Immune Exclusion in Triple-Negative Breast Cancer.",2025,,,N/A
40744683,Co-Expression of MHC-II and ANXA1: Mediators of PD-1/PD-L1 Therapy Resistance in Breast Cancer.,2025,,,N/A
40744660,MIAT promotes tumor-infiltrating CD8,2025,,,N/A
40741879,Artificial Intelligence and the Evolving Landscape of Immunopeptidomics.,2025,,,N/A
40740766,Systematic analysis of ZDHHC9 as a potential prognostic and immunotherapy biomarker in breast cancer.,2025,,,N/A
40738541,B-cell editing: An emerging alternative of precision oncotherapy.,2025,,,N/A
40738175,Augmenting cGAS/STING-mediated innate immunity by copper-based nanoplatform for synergistic cancer immunotherapy via inducing irreversible DNA damage.,2025,,,N/A
40737412,Morphology- and adhesion-dual biomimetic nanovaccine boosts antigen cross-presentation through subcellular transport regulation.,2025,,,N/A
40736162,Baseline and Early Treatment MRI Model for Predicting Complete Pathologic Response to Neoadjuvant Chemoimmunotherapy in Patients With Triple-Negative Breast Cancer.,2025,,,N/A
40735962,Self-Delivery Nanotherapeutics for Tumor Low-Temperature Photothermal Immunotherapy through Cascade Heat Shock Protein and Inflammation Inhibition.,2025,,,N/A
40733767,Theragnostic applications of cyclodextrin-enhanced photothermal therapy in cancer management.,2025,,,N/A
40733128,Synthesis and Evaluation of [,2025,"Ferro-Flores, Luna-Gutiérrez, Ocampo-García, Jiménez-Mancilla, Lara-Almazán, Oros-Pantoja, Santos-Cuevas, Azorín-Vega","Department of Nuclear Forensics and Analytical Chemistry, Instituto Nacional de Investigaciones Nucleares, Ocoyoacac 52750, Mexico., Investigadora por México SECIHTI, Instituto Nacional de Investigaciones Nucleares, Ocoyoacac 52750, Mexico., Department of Radioactive Materials, Instituto Nacional de Investigaciones Nucleares (ININ), Ocoyoacac 52750, Mexico., Faculty of Medicine, Universidad Autónoma del Estado de México, Toluca 50180, Mexico.",N/A
40733107,Overview of Preclinical and Clinical Trials of Nanoparticles for the Treatment of Brain Metastases.,2025,,,N/A
40730899,Mammary intraepithelial lymphocytes and intestinal inputs shape T cell dynamics in lactogenesis.,2025,,,N/A
40729737,Developing a Personalized Cancer Nanovaccine Using Coxsackievirus-Reprogrammed Cancer Cell Membranes for Enhanced Anti-Tumor Immunity.,2025,,,N/A
40729049,Advances in Molecular Diagnostics and Targeted Therapeutic Approaches in HER-2 Positive Breast Cancer.,2025,,,N/A
40729006,Serum Levels of IL-21 and IL-22 in Breast Cancer Patients-A Preliminary Study.,2025,,,N/A
40728183,Effect and mechanism of local radiotherapy combined with immune checkpoint inhibitor in the treatment of metastatic triple negative breast cancer.,2025,"Lu, Wang, Yu, Lv","Shanghai Concord Medical Cancer Center,Shanghai, China.",N/A
40727978,Dynamic Changes in Breast Cancer Receptor Status: A Case Report Highlighting the Importance of Repeat Biopsies in Guiding Treatment Strategies.,2025,,,N/A
40727760,APG-115 Induces SLC7A11-Mediated Ferroptosis and Upregulates PD-L1 Expression in Thyroid Cancer.,2025,,,N/A
40727077,FMRP silencing via siRNA lipid nanoparticles to reprogram the tumor microenvironment and enhance anti-PD-1 efficacy in triple-negative breast cancer.,2025,,,N/A
40725937,Prognostic and immunological significance of CD82 in cancers with focus on hepatocellular carcinoma: A bioinformatics approach.,2025,,,N/A
40725123,PD-1/PD-L1 Inhibitors and Chemotherapy Synergy: Impact on Drug Resistance and PD-L1 Expression in Breast Cancer-Immune Cell Co-Cultures.,2025,,,N/A
40723292,Integration of Single-Cell Analysis and Bulk RNA Sequencing Data Using Multi-Level Attention Graph Neural Network for Precise Prognostic Stratification in Thyroid Cancer.,2025,Wang,"UMedEVO and UMedREVO Artificial Intelligence Technology (Guangzhou) Co., Ltd., Guangzhou 510275, China.",N/A
40723191,Toxicity Profiles of Antibody-Drug Conjugates: Synthesis and Graphical Insights to Optimize Patient-Centered Treatment Strategies for HER2-Negative Metastatic Breast Cancer.,2025,"Collineau, Gonçalves, Domon, Bruyat, Bertucci, de Nonneville","Institut Paoli-Calmettes, Department of Palliative and Supportive Care, 13009 Marseille, France., Institut Paoli-Calmettes, Department of Medical Oncology, 13009 Marseille, France.",N/A
40722155,"Targeting cancer stem cells with CAR-based immunotherapy: biology, evidence, and future directions.",2025,Esmaeilzadeh,"Profound Future Focused Innovative Cell and Gene Therapy, Pficell R&D Canadian Institution & Corporation, Ontario, Canada. a46reza@zums.ac.ir.",N/A
40721545,Decoding tumor-infiltrating lymphocytes heterogeneity in ductal carcinoma in situ: immune microenvironment dynamics and prognostic insights.,2025,,,N/A
40716359,Biomarkers of response and resistance to immune checkpoint inhibitors in breast cancer.,2025,"Li, Panet, Loi","Department of Medical Oncology, Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia; Division of Cancer Research, Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia. Electronic address: Sherene.Loi@petermac.org., Department of Medical Oncology, Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia; Division of Cancer Research, Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia., CISSS de la Montérégie-Centre, Département de Médecine, Service d'hémato-oncologie, Longueuil, Québec, Canada.",N/A
40715915,"Bridging molecular insights and clinical application: non-coding RNAs, targeted drug delivery, and metastatic breast cancer therapy.",2025,,,N/A
40720172,Self-Assembling Peptides Alter Cell Death Pathway for Pyroptosis-Enhanced Immune Activation.,2025,,,N/A
40718602,Acute Liver Failure and Hepatic Encephalopathy Secondary to Extensive Liver Metastases from Breast Cancer Successfully Treated Using Dose Modified Weekly Nab-paclitaxel and Trastuzumab.,2025,,,N/A
40718485,Multiplex imaging analysis of the tumor immune microenvironment for guiding precision immunotherapy.,2025,,,N/A
40717985,Mechanism and application of copper-based nanomedicines in activating tumor immunity through oxidative stress modulation.,2025,,,N/A
40717879,Predictive Biomarkers in Cancer Immunotherapy: A Narrative Review Across Selected Solid Tumors.,2025,,,N/A
40715739,First unscheduled hospitalization in advanced cancer as a prognostic indicator of poor survival and trigger for palliative care referral.,2025,Vañó,"Department of Palliative Care, MD Anderson Cancer Center Madrid, Madrid, Spain.",N/A
